latitude,longitude,mean_predicted_rainfall,max_predicted_rainfall,mean_heavy_probability,max_heavy_probability,max_absolute_error,observations,spatial_hazard,max_ge_10,max_ge_20,max_ge_30,max_ge_40
5.0499997,82.45,0.9455760614885963,1.273551144000263,0.003170644831221175,0.0093700311119765,0.0235511440002629,4,Light,False,False,False,False
5.0499997,82.549995,1.2544512481907182,1.789971351488229,0.001616925933952,0.0033125482129082,0.0462838584694456,4,Light,False,False,False,False
5.0499997,82.65,1.8378495461975004,2.602804795508732,0.0047739920947954,0.0094293839014059,0.0428047955087316,4,Light,False,False,False,False
5.0499997,82.75,1.3899626811813903,2.416711903293656,0.0032202731975262498,0.003271746031746,0.0196108821302918,4,Light,False,False,False,False
5.0499997,82.85,0.6031818778213022,1.18675244977832,0.0048244204649373,0.012713387615095,0.0147152544074872,4,Light,False,False,False,False
5.0499997,82.95,0.295549204112132,0.5404265711074607,0.004893076043040925,0.0195723041721637,0.0104265711074607,4,No/Very Light,False,False,False,False
5.0499997,83.049995,0.22057645659349145,0.3800888888888875,0.000803098310579125,0.0032123932423165,0.0073182871816244,4,No/Very Light,False,False,False,False
5.0499997,83.15,0.26837532784709617,0.3847286094477774,0.000803098310579125,0.0032123932423165,0.0050181654928565,4,No/Very Light,False,False,False,False
5.0499997,83.25,0.2080437835857371,0.3468125750865867,0.0016135478088648,0.0032417979931427,0.010689627702489,4,No/Very Light,False,False,False,False
5.0499997,83.35,0.2217292383505687,0.3545364638121422,0.000803098310579125,0.0032123932423165,0.0102606574907673,4,No/Very Light,False,False,False,False
5.0499997,83.45,0.2773935242485814,0.3801832768938096,0.0024317597599964,0.0065146457976691,0.0109213060601588,4,No/Very Light,False,False,False,False
5.0499997,83.549995,0.3871449538529881,0.5861786054033336,0.0032422092582821,0.0097564437908119,0.0061786054033335,4,No/Very Light,False,False,False,False
5.0499997,83.65,0.5822087342182143,1.411073673618256,0.0016135478088648,0.0032417979931427,0.0171884856931137,4,Light,False,False,False,False
5.0499997,83.75,1.225837130119966,3.559158186951589,0.007969723897536276,0.018918769715411,0.0901963703490694,4,Light,False,False,False,False
5.0499997,83.85,1.1205474454926783,2.8273967049095226,0.0054328820498392005,0.0120922334023944,0.0276881625699998,4,Light,False,False,False,False
5.0499997,83.95,0.9570847450720308,3.0799163405629653,0.0049005540809520754,0.0065543462060509,0.0200836594370348,4,Light,False,False,False,False
5.0499997,84.049995,0.6768844604815885,1.9243455465983648,0.00479100076917465,0.0096392947969624,0.0443455465983653,4,Light,False,False,False,False
5.0499997,84.15,0.380797269563211,0.8215227596724202,0.003994724878798825,0.0064541912354592,0.0115227596724201,4,No/Very Light,False,False,False,False
5.0499997,84.25,0.18635340885762147,0.3513941998961906,0.00318427538051315,0.0032123932423165,0.0113941998961906,4,No/Very Light,False,False,False,False
5.0499997,84.35,0.14843679486284547,0.2552250775744444,0.007290753607062875,0.016254088669556,0.0052250775744444,4,No/Very Light,False,False,False,False
5.0499997,84.45,0.31606891332046927,0.8750247673704757,0.008050895858481299,0.016254088669556,0.0050247673704757,4,No/Very Light,False,False,False,False
